Title                                                           02.03.2017 14:24
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  DSC700926_pBTTTketo_10%a, 02.03.2017 13:47:16
  Performed 02.03.2017 13:47:15
Curve Values:
          Index       Abscissa             Ts             Tr          Value
                          [°C]           [°C]           [°C]           [mW]
            925            925          0.000        341.667        19.1576
            926            926          0.000        341.333        19.1384
            927            927          0.000        341.000        19.1235
            928            928          0.000        340.667        19.1145
            929            929          0.000        340.333        19.1022
            930            930          0.000        340.000        19.0897
            931            931          0.000        339.667         19.079
            932            932          0.000        339.333        19.0712
            933            933          0.000        339.000        19.0634
            934            934          0.000        338.667        19.0542
            935            935          0.000        338.333        19.0469
            936            936          0.000        338.000        19.0421
            937            937          0.000        337.667        19.0346
            938            938          0.000        337.333        19.0263
            939            939          0.000        337.000        19.0178
            940            940          0.000        336.667        19.0094
            941            941          0.000        336.333        19.0009
            942            942          0.000        336.000        18.9915
            943            943          0.000        335.667        18.9832
            944            944          0.000        335.333        18.9765
            945            945          0.000        335.000        18.9693
            946            946          0.000        334.667        18.9631
            947            947          0.000        334.333        18.9569
            948            948          0.000        334.000        18.9507
            949            949          0.000        333.667        18.9447
            950            950          0.000        333.333        18.9392
            951            951          0.000        333.000        18.9335
            952            952          0.000        332.667        18.9281
            953            953          0.000        332.333        18.9226
            954            954          0.000        332.000        18.9177
            955            955          0.000        331.667        18.9126
            956            956          0.000        331.333        18.9075
            957            957          0.000        331.000        18.9025
            958            958          0.000        330.667        18.8977
            959            959          0.000        330.333        18.8929
            960            960          0.000        330.000        18.8882
            961            961          0.000        329.667        18.8835
            962            962          0.000        329.333        18.8788
            963            963          0.000        329.000        18.8743
            964            964          0.000        328.667        18.8698
            965            965          0.000        328.333        18.8654
            966            966          0.000        328.000        18.8611
            967            967          0.000        327.667        18.8569
            968            968          0.000        327.333        18.8528
            969            969          0.000        327.000        18.8487
            970            970          0.000        326.667        18.8447
            971            971          0.000        326.333        18.8406
            972            972          0.000        326.000        18.8366
            973            973          0.000        325.667        18.8325
            974            974          0.000        325.333        18.8284
            975            975          0.000        325.000        18.8244
            976            976          0.000        324.667        18.8204
            977            977          0.000        324.333        18.8165
            978            978          0.000        324.000        18.8126
            979            979          0.000        323.667        18.8087
            980            980          0.000        323.333        18.8048
            981            981          0.000        323.000         18.801
            982            982          0.000        322.667        18.7972
            983            983          0.000        322.333        18.7933
            984            984          0.000        322.000        18.7894
            985            985          0.000        321.667        18.7856
            986            986          0.000        321.333        18.7818
            987            987          0.000        321.000        18.7779
            988            988          0.000        320.667         18.774
            989            989          0.000        320.333        18.7702
            990            990          0.000        320.000        18.7663
            991            991          0.000        319.667        18.7624
            992            992          0.000        319.333        18.7586
            993            993          0.000        319.000        18.7547
            994            994          0.000        318.667        18.7509
            995            995          0.000        318.333        18.7471
            996            996          0.000        318.000        18.7433
            997            997          0.000        317.667        18.7396
            998            998          0.000        317.333        18.7358
            999            999          0.000        317.000        18.7321
           1000           1000          0.000        316.667        18.7285
           1001           1001          0.000        316.333        18.7248
           1002           1002          0.000        316.000        18.7212
           1003           1003          0.000        315.667        18.7176
           1004           1004          0.000        315.333        18.7141
           1005           1005          0.000        315.000        18.7106
           1006           1006          0.000        314.667        18.7072
           1007           1007          0.000        314.333        18.7038
           1008           1008          0.000        314.000        18.7004
           1009           1009          0.000        313.667        18.6971
           1010           1010          0.000        313.333        18.6939
           1011           1011          0.000        313.000        18.6908
           1012           1012          0.000        312.667        18.6877
           1013           1013          0.000        312.333        18.6847
           1014           1014          0.000        312.000        18.6817
           1015           1015          0.000        311.667         18.679
           1016           1016          0.000        311.333        18.6762
           1017           1017          0.000        311.000        18.6734
           1018           1018          0.000        310.667        18.6707
           1019           1019          0.000        310.333        18.6682
           1020           1020          0.000        310.000        18.6656
           1021           1021          0.000        309.667        18.6631
           1022           1022          0.000        309.333        18.6606
           1023           1023          0.000        309.000        18.6583
           1024           1024          0.000        308.667        18.6559
           1025           1025          0.000        308.333        18.6535
           1026           1026          0.000        308.000        18.6512
           1027           1027          0.000        307.667         18.649
           1028           1028          0.000        307.333        18.6468
           1029           1029          0.000        307.000        18.6446
           1030           1030          0.000        306.667        18.6424
           1031           1031          0.000        306.333        18.6403
           1032           1032          0.000        306.000        18.6382
           1033           1033          0.000        305.667        18.6361
           1034           1034          0.000        305.333         18.634
           1035           1035          0.000        305.000        18.6319
           1036           1036          0.000        304.667        18.6298
           1037           1037          0.000        304.333        18.6278
           1038           1038          0.000        304.000        18.6257
           1039           1039          0.000        303.667        18.6237
           1040           1040          0.000        303.333        18.6217
           1041           1041          0.000        303.000        18.6197
           1042           1042          0.000        302.667        18.6177
           1043           1043          0.000        302.333        18.6159
           1044           1044          0.000        302.000         18.614
           1045           1045          0.000        301.667        18.6122
           1046           1046          0.000        301.333        18.6104
           1047           1047          0.000        301.000        18.6087
           1048           1048          0.000        300.667        18.6069
           1049           1049          0.000        300.333        18.6052
           1050           1050          0.000        300.000        18.6034
           1051           1051          0.000        299.667        18.6017
           1052           1052          0.000        299.333        18.5999
           1053           1053          0.000        299.000        18.5981
           1054           1054          0.000        298.667        18.5964
           1055           1055          0.000        298.333        18.5946
           1056           1056          0.000        298.000        18.5929
           1057           1057          0.000        297.667        18.5912
           1058           1058          0.000        297.333        18.5896
           1059           1059          0.000        297.000        18.5879
           1060           1060          0.000        296.667        18.5863
           1061           1061          0.000        296.333        18.5847
           1062           1062          0.000        296.000         18.583
           1063           1063          0.000        295.667        18.5813
           1064           1064          0.000        295.333        18.5797
           1065           1065          0.000        295.000        18.5781
           1066           1066          0.000        294.667        18.5764
           1067           1067          0.000        294.333        18.5749
           1068           1068          0.000        294.000        18.5733
           1069           1069          0.000        293.667        18.5718
           1070           1070          0.000        293.333        18.5702
           1071           1071          0.000        293.000        18.5686
           1072           1072          0.000        292.667         18.567
           1073           1073          0.000        292.333        18.5655
           1074           1074          0.000        292.000        18.5639
           1075           1075          0.000        291.667        18.5623
           1076           1076          0.000        291.333        18.5608
           1077           1077          0.000        291.000        18.5592
           1078           1078          0.000        290.667        18.5577
           1079           1079          0.000        290.333        18.5562
           1080           1080          0.000        290.000        18.5548
           1081           1081          0.000        289.667        18.5534
           1082           1082          0.000        289.333         18.552
           1083           1083          0.000        289.000        18.5507
           1084           1084          0.000        288.667        18.5494
           1085           1085          0.000        288.333        18.5481
           1086           1086          0.000        288.000        18.5468
           1087           1087          0.000        287.667        18.5455
           1088           1088          0.000        287.333        18.5441
           1089           1089          0.000        287.000        18.5428
           1090           1090          0.000        286.667        18.5415
           1091           1091          0.000        286.333        18.5401
           1092           1092          0.000        286.000        18.5388
           1093           1093          0.000        285.667        18.5375
           1094           1094          0.000        285.333        18.5362
           1095           1095          0.000        285.000        18.5349
           1096           1096          0.000        284.667        18.5336
           1097           1097          0.000        284.333        18.5323
           1098           1098          0.000        284.000        18.5309
           1099           1099          0.000        283.667        18.5296
           1100           1100          0.000        283.333        18.5282
           1101           1101          0.000        283.000        18.5268
           1102           1102          0.000        282.667        18.5254
           1103           1103          0.000        282.333         18.524
           1104           1104          0.000        282.000        18.5227
           1105           1105          0.000        281.667        18.5214
           1106           1106          0.000        281.333        18.5201
           1107           1107          0.000        281.000        18.5188
           1108           1108          0.000        280.667        18.5176
           1109           1109          0.000        280.333        18.5165
           1110           1110          0.000        280.000        18.5153
           1111           1111          0.000        279.667        18.5142
           1112           1112          0.000        279.333         18.513
           1113           1113          0.000        279.000        18.5118
           1114           1114          0.000        278.667        18.5107
           1115           1115          0.000        278.333        18.5096
           1116           1116          0.000        278.000        18.5085
           1117           1117          0.000        277.667        18.5074
           1118           1118          0.000        277.333        18.5063
           1119           1119          0.000        277.000        18.5053
           1120           1120          0.000        276.667        18.5042
           1121           1121          0.000        276.333        18.5032
           1122           1122          0.000        276.000        18.5021
           1123           1123          0.000        275.667         18.501
           1124           1124          0.000        275.333        18.5001
           1125           1125          0.000        275.000        18.4991
           1126           1126          0.000        274.667        18.4981
           1127           1127          0.000        274.333        18.4972
           1128           1128          0.000        274.000        18.4962
           1129           1129          0.000        273.667        18.4952
           1130           1130          0.000        273.333        18.4942
           1131           1131          0.000        273.000        18.4932
           1132           1132          0.000        272.667        18.4923
           1133           1133          0.000        272.333        18.4913
           1134           1134          0.000        272.000        18.4904
           1135           1135          0.000        271.667        18.4894
           1136           1136          0.000        271.333        18.4885
           1137           1137          0.000        271.000        18.4877
           1138           1138          0.000        270.667        18.4869
           1139           1139          0.000        270.333        18.4861
           1140           1140          0.000        270.000        18.4854
           1141           1141          0.000        269.667        18.4846
           1142           1142          0.000        269.333        18.4839
           1143           1143          0.000        269.000        18.4831
           1144           1144          0.000        268.667        18.4822
           1145           1145          0.000        268.333        18.4814
           1146           1146          0.000        268.000        18.4807
           1147           1147          0.000        267.667        18.4799
           1148           1148          0.000        267.333        18.4791
           1149           1149          0.000        267.000        18.4785
           1150           1150          0.000        266.667        18.4777
           1151           1151          0.000        266.333         18.477
           1152           1152          0.000        266.000        18.4762
           1153           1153          0.000        265.667        18.4756
           1154           1154          0.000        265.333        18.4749
           1155           1155          0.000        265.000        18.4743
           1156           1156          0.000        264.667        18.4736
           1157           1157          0.000        264.333        18.4731
           1158           1158          0.000        264.000        18.4725
           1159           1159          0.000        263.667         18.472
           1160           1160          0.000        263.333        18.4714
           1161           1161          0.000        263.000        18.4707
           1162           1162          0.000        262.667          18.47
           1163           1163          0.000        262.333        18.4693
           1164           1164          0.000        262.000        18.4687
           1165           1165          0.000        261.667         18.468
           1166           1166          0.000        261.333        18.4674
           1167           1167          0.000        261.000        18.4668
           1168           1168          0.000        260.667        18.4662
           1169           1169          0.000        260.333        18.4658
           1170           1170          0.000        260.000        18.4653
           1171           1171          0.000        259.667        18.4648
           1172           1172          0.000        259.333        18.4643
           1173           1173          0.000        259.000        18.4638
           1174           1174          0.000        258.667        18.4633
           1175           1175          0.000        258.333        18.4628
           1176           1176          0.000        258.000        18.4622
           1177           1177          0.000        257.667        18.4617
           1178           1178          0.000        257.333         18.461
           1179           1179          0.000        257.000        18.4604
           1180           1180          0.000        256.667        18.4599
           1181           1181          0.000        256.333        18.4593
           1182           1182          0.000        256.000        18.4587
           1183           1183          0.000        255.667        18.4581
           1184           1184          0.000        255.333        18.4577
           1185           1185          0.000        255.000        18.4572
           1186           1186          0.000        254.667        18.4567
           1187           1187          0.000        254.333        18.4563
           1188           1188          0.000        254.000        18.4558
           1189           1189          0.000        253.667        18.4554
           1190           1190          0.000        253.333        18.4549
           1191           1191          0.000        253.000        18.4545
           1192           1192          0.000        252.667        18.4541
           1193           1193          0.000        252.333        18.4537
           1194           1194          0.000        252.000        18.4533
           1195           1195          0.000        251.667         18.453
           1196           1196          0.000        251.333        18.4526
           1197           1197          0.000        251.000        18.4523
           1198           1198          0.000        250.667         18.452
           1199           1199          0.000        250.333        18.4517
           1200           1200          0.000        250.000        18.4514
           1201           1201          0.000        249.667        18.4512
           1202           1202          0.000        249.333        18.4509
           1203           1203          0.000        249.000        18.4505
           1204           1204          0.000        248.667        18.4502
           1205           1205          0.000        248.333        18.4498
           1206           1206          0.000        248.000        18.4493
           1207           1207          0.000        247.667        18.4489
           1208           1208          0.000        247.333        18.4485
           1209           1209          0.000        247.000        18.4481
           1210           1210          0.000        246.667        18.4478
           1211           1211          0.000        246.333        18.4474
           1212           1212          0.000        246.000        18.4471
           1213           1213          0.000        245.667        18.4469
           1214           1214          0.000        245.333        18.4467
           1215           1215          0.000        245.000        18.4464
           1216           1216          0.000        244.667        18.4463
           1217           1217          0.000        244.333        18.4461
           1218           1218          0.000        244.000         18.446
           1219           1219          0.000        243.667        18.4459
           1220           1220          0.000        243.333        18.4458
           1221           1221          0.000        243.000        18.4458
           1222           1222          0.000        242.667        18.4459
           1223           1223          0.000        242.333        18.4459
           1224           1224          0.000        242.000        18.4459
           1225           1225          0.000        241.667        18.4459
           1226           1226          0.000        241.333        18.4459
           1227           1227          0.000        241.000        18.4458
           1228           1228          0.000        240.667        18.4458
           1229           1229          0.000        240.333        18.4458
           1230           1230          0.000        240.000        18.4458
           1231           1231          0.000        239.667        18.4459
           1232           1232          0.000        239.333        18.4459
           1233           1233          0.000        239.000        18.4459
           1234           1234          0.000        238.667         18.446
           1235           1235          0.000        238.333        18.4461
           1236           1236          0.000        238.000        18.4461
           1237           1237          0.000        237.667        18.4462
           1238           1238          0.000        237.333        18.4464
           1239           1239          0.000        237.000        18.4464
           1240           1240          0.000        236.667        18.4465
           1241           1241          0.000        236.333        18.4467
           1242           1242          0.000        236.000        18.4468
           1243           1243          0.000        235.667        18.4469
           1244           1244          0.000        235.333         18.447
           1245           1245          0.000        235.000        18.4471
           1246           1246          0.000        234.667        18.4472
           1247           1247          0.000        234.333        18.4472
           1248           1248          0.000        234.000        18.4473
           1249           1249          0.000        233.667        18.4474
           1250           1250          0.000        233.333        18.4475
           1251           1251          0.000        233.000        18.4477
           1252           1252          0.000        232.667        18.4478
           1253           1253          0.000        232.333        18.4479
           1254           1254          0.000        232.000         18.448
           1255           1255          0.000        231.667        18.4482
           1256           1256          0.000        231.333        18.4483
           1257           1257          0.000        231.000        18.4485
           1258           1258          0.000        230.667        18.4486
           1259           1259          0.000        230.333        18.4487
           1260           1260          0.000        230.000        18.4489
           1261           1261          0.000        229.667         18.449
           1262           1262          0.000        229.333        18.4492
           1263           1263          0.000        229.000        18.4493
           1264           1264          0.000        228.667        18.4495
           1265           1265          0.000        228.333        18.4497
           1266           1266          0.000        228.000          18.45
           1267           1267          0.000        227.667        18.4503
           1268           1268          0.000        227.333        18.4506
           1269           1269          0.000        227.000        18.4509
           1270           1270          0.000        226.667        18.4513
           1271           1271          0.000        226.333        18.4517
           1272           1272          0.000        226.000        18.4521
           1273           1273          0.000        225.667        18.4525
           1274           1274          0.000        225.333        18.4528
           1275           1275          0.000        225.000         18.453
           1276           1276          0.000        224.667        18.4532
           1277           1277          0.000        224.333        18.4534
           1278           1278          0.000        224.000        18.4537
           1279           1279          0.000        223.667        18.4539
           1280           1280          0.000        223.333        18.4541
           1281           1281          0.000        223.000        18.4544
           1282           1282          0.000        222.667        18.4548
           1283           1283          0.000        222.333        18.4553
           1284           1284          0.000        222.000        18.4558
           1285           1285          0.000        221.667        18.4563
           1286           1286          0.000        221.333        18.4569
           1287           1287          0.000        221.000        18.4574
           1288           1288          0.000        220.667         18.458
           1289           1289          0.000        220.333        18.4587
           1290           1290          0.000        220.000        18.4594
           1291           1291          0.000        219.667          18.46
           1292           1292          0.000        219.333        18.4606
           1293           1293          0.000        219.000        18.4612
           1294           1294          0.000        218.667        18.4617
           1295           1295          0.000        218.333        18.4623
           1296           1296          0.000        218.000        18.4628
           1297           1297          0.000        217.667        18.4633
           1298           1298          0.000        217.333        18.4639
           1299           1299          0.000        217.000        18.4644
           1300           1300          0.000        216.667         18.465
           1301           1301          0.000        216.333        18.4656
           1302           1302          0.000        216.000        18.4663
           1303           1303          0.000        215.667         18.467
           1304           1304          0.000        215.333        18.4678
           1305           1305          0.000        215.000        18.4685
           1306           1306          0.000        214.667        18.4691
           1307           1307          0.000        214.333        18.4698
           1308           1308          0.000        214.000        18.4704
           1309           1309          0.000        213.667         18.471
           1310           1310          0.000        213.333        18.4716
           1311           1311          0.000        213.000        18.4722
           1312           1312          0.000        212.667        18.4727
           1313           1313          0.000        212.333        18.4733
           1314           1314          0.000        212.000        18.4739
           1315           1315          0.000        211.667        18.4745
           1316           1316          0.000        211.333        18.4752
           1317           1317          0.000        211.000        18.4759
           1318           1318          0.000        210.667        18.4765
           1319           1319          0.000        210.333        18.4771
           1320           1320          0.000        210.000        18.4778
           1321           1321          0.000        209.667        18.4784
           1322           1322          0.000        209.333        18.4791
           1323           1323          0.000        209.000        18.4797
           1324           1324          0.000        208.667        18.4802
           1325           1325          0.000        208.333        18.4808
           1326           1326          0.000        208.000        18.4813
           1327           1327          0.000        207.667        18.4818
           1328           1328          0.000        207.333        18.4824
           1329           1329          0.000        207.000         18.483
           1330           1330          0.000        206.667        18.4837
           1331           1331          0.000        206.333        18.4843
           1332           1332          0.000        206.000        18.4851
           1333           1333          0.000        205.667        18.4858
           1334           1334          0.000        205.333        18.4865
           1335           1335          0.000        205.000        18.4872
           1336           1336          0.000        204.667        18.4879
           1337           1337          0.000        204.333        18.4886
           1338           1338          0.000        204.000        18.4894
           1339           1339          0.000        203.667        18.4901
           1340           1340          0.000        203.333         18.491
           1341           1341          0.000        203.000        18.4918
           1342           1342          0.000        202.667        18.4926
           1343           1343          0.000        202.333        18.4934
           1344           1344          0.000        202.000        18.4943
           1345           1345          0.000        201.667        18.4953
           1346           1346          0.000        201.333        18.4962
           1347           1347          0.000        201.000        18.4972
           1348           1348          0.000        200.667        18.4982
           1349           1349          0.000        200.333        18.4993
           1350           1350          0.000        200.000        18.5004
           1351           1351          0.000        199.667        18.5014
           1352           1352          0.000        199.333        18.5024
           1353           1353          0.000        199.000        18.5034
           1354           1354          0.000        198.667        18.5044
           1355           1355          0.000        198.333        18.5054
           1356           1356          0.000        198.000        18.5063
           1357           1357          0.000        197.667        18.5072
           1358           1358          0.000        197.333        18.5081
           1359           1359          0.000        197.000        18.5091
           1360           1360          0.000        196.667        18.5102
           1361           1361          0.000        196.333        18.5112
           1362           1362          0.000        196.000        18.5122
           1363           1363          0.000        195.667        18.5132
           1364           1364          0.000        195.333        18.5142
           1365           1365          0.000        195.000        18.5153
           1366           1366          0.000        194.667        18.5164
           1367           1367          0.000        194.333        18.5176
           1368           1368          0.000        194.000        18.5188
           1369           1369          0.000        193.667        18.5201
           1370           1370          0.000        193.333        18.5213
           1371           1371          0.000        193.000        18.5225
           1372           1372          0.000        192.667        18.5237
           1373           1373          0.000        192.333        18.5248
           1374           1374          0.000        192.000        18.5259
           1375           1375          0.000        191.667        18.5271
           1376           1376          0.000        191.333        18.5282
           1377           1377          0.000        191.000        18.5293
           1378           1378          0.000        190.667        18.5304
           1379           1379          0.000        190.333        18.5315
           1380           1380          0.000        190.000        18.5325
           1381           1381          0.000        189.667        18.5336
           1382           1382          0.000        189.333        18.5347
           1383           1383          0.000        189.000        18.5358
           1384           1384          0.000        188.667        18.5369
           1385           1385          0.000        188.333        18.5382
           1386           1386          0.000        188.000        18.5394
           1387           1387          0.000        187.667        18.5406
           1388           1388          0.000        187.333        18.5419
           1389           1389          0.000        187.000        18.5433
           1390           1390          0.000        186.667        18.5447
           1391           1391          0.000        186.333         18.546
           1392           1392          0.000        186.000        18.5473
           1393           1393          0.000        185.667        18.5487
           1394           1394          0.000        185.333        18.5501
           1395           1395          0.000        185.000        18.5515
           1396           1396          0.000        184.667        18.5528
           1397           1397          0.000        184.333        18.5541
           1398           1398          0.000        184.000        18.5555
           1399           1399          0.000        183.667        18.5569
           1400           1400          0.000        183.333        18.5583
           1401           1401          0.000        183.000        18.5596
           1402           1402          0.000        182.667         18.561
           1403           1403          0.000        182.333        18.5625
           1404           1404          0.000        182.000        18.5641
           1405           1405          0.000        181.667        18.5656
           1406           1406          0.000        181.333        18.5671
           1407           1407          0.000        181.000        18.5684
           1408           1408          0.000        180.667        18.5699
           1409           1409          0.000        180.333        18.5711
           1410           1410          0.000        180.000         18.572
           1411           1411          0.000        179.667        18.5715
           1412           1412          0.000        179.333        18.5702
           1413           1413          0.000        179.000        18.5728
           1414           1414          0.000        178.667        18.5754
           1415           1415          0.000        178.333        18.5776
           1416           1416          0.000        178.000        18.5795
           1417           1417          0.000        177.667        18.5815
           1418           1418          0.000        177.333        18.5836
           1419           1419          0.000        177.000        18.5856
           1420           1420          0.000        176.667        18.5877
           1421           1421          0.000        176.333        18.5895
           1422           1422          0.000        176.000        18.5914
           1423           1423          0.000        175.667        18.5932
           1424           1424          0.000        175.333        18.5951
           1425           1425          0.000        175.000        18.5969
           1426           1426          0.000        174.667        18.5988
           1427           1427          0.000        174.333        18.6006
           1428           1428          0.000        174.000        18.6025
           1429           1429          0.000        173.667        18.6045
           1430           1430          0.000        173.333        18.6064
           1431           1431          0.000        173.000        18.6084
           1432           1432          0.000        172.667        18.6103
           1433           1433          0.000        172.333        18.6123
           1434           1434          0.000        172.000        18.6142
           1435           1435          0.000        171.667        18.6161
           1436           1436          0.000        171.333        18.6179
           1437           1437          0.000        171.000        18.6194
           1438           1438          0.000        170.667         18.621
           1439           1439          0.000        170.333        18.6225
           1440           1440          0.000        170.000        18.6241
           1441           1441          0.000        169.667        18.6255
           1442           1442          0.000        169.333        18.6271
           1443           1443          0.000        169.000        18.6287
           1444           1444          0.000        168.667        18.6303
           1445           1445          0.000        168.333        18.6322
           1446           1446          0.000        168.000         18.634
           1447           1447          0.000        167.667        18.6357
           1448           1448          0.000        167.333        18.6373
           1449           1449          0.000        167.000         18.639
           1450           1450          0.000        166.667        18.6405
           1451           1451          0.000        166.333         18.642
           1452           1452          0.000        166.000        18.6435
           1453           1453          0.000        165.667         18.645
           1454           1454          0.000        165.333        18.6464
           1455           1455          0.000        165.000        18.6478
           1456           1456          0.000        164.667        18.6492
           1457           1457          0.000        164.333        18.6506
           1458           1458          0.000        164.000        18.6519
           1459           1459          0.000        163.667        18.6533
           1460           1460          0.000        163.333        18.6547
           1461           1461          0.000        163.000         18.656
           1462           1462          0.000        162.667        18.6573
           1463           1463          0.000        162.333        18.6585
           1464           1464          0.000        162.000        18.6598
           1465           1465          0.000        161.667        18.6611
           1466           1466          0.000        161.333        18.6623
           1467           1467          0.000        161.000        18.6635
           1468           1468          0.000        160.667        18.6646
           1469           1469          0.000        160.333        18.6659
           1470           1470          0.000        160.000         18.667
           1471           1471          0.000        159.667        18.6681
           1472           1472          0.000        159.333        18.6692
           1473           1473          0.000        159.000        18.6704
           1474           1474          0.000        158.667        18.6715
           1475           1475          0.000        158.333        18.6728
           1476           1476          0.000        158.000         18.674
           1477           1477          0.000        157.667        18.6753
           1478           1478          0.000        157.333        18.6766
           1479           1479          0.000        157.000        18.6779
           1480           1480          0.000        156.667        18.6792
           1481           1481          0.000        156.333        18.6806
           1482           1482          0.000        156.000        18.6819
           1483           1483          0.000        155.667        18.6832
           1484           1484          0.000        155.333        18.6845
           1485           1485          0.000        155.000        18.6858
           1486           1486          0.000        154.667        18.6872
           1487           1487          0.000        154.333        18.6885
           1488           1488          0.000        154.000        18.6898
           1489           1489          0.000        153.667        18.6911
           1490           1490          0.000        153.333        18.6924
           1491           1491          0.000        153.000        18.6936
           1492           1492          0.000        152.667        18.6949
           1493           1493          0.000        152.333        18.6961
           1494           1494          0.000        152.000        18.6973
           1495           1495          0.000        151.667        18.6986
           1496           1496          0.000        151.333        18.6999
           1497           1497          0.000        151.000        18.7012
           1498           1498          0.000        150.667        18.7026
           1499           1499          0.000        150.333        18.7039
           1500           1500          0.000        150.000        18.7054
           1501           1501          0.000        149.667        18.7068
           1502           1502          0.000        149.333        18.7083
           1503           1503          0.000        149.000        18.7097
           1504           1504          0.000        148.667        18.7111
           1505           1505          0.000        148.333        18.7124
           1506           1506          0.000        148.000        18.7138
           1507           1507          0.000        147.667        18.7153
           1508           1508          0.000        147.333        18.7168
           1509           1509          0.000        147.000        18.7184
