Title                                                           02.03.2017 14:24
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  DSC700926_pBTTTketo_10%a, 02.03.2017 13:47:16
  Performed 02.03.2017 13:47:15
Curve Values:
          Index       Abscissa             Ts             Tr          Value
                          [°C]           [°C]           [°C]           [mW]
            161            161          0.000        103.667       -23.1062
            162            162          0.000        104.000       -23.1092
            163            163          0.000        104.333       -23.1123
            164            164          0.000        104.667       -23.1154
            165            165          0.000        105.000       -23.1185
            166            166          0.000        105.333       -23.1215
            167            167          0.000        105.667       -23.1245
            168            168          0.000        106.000       -23.1275
            169            169          0.000        106.333       -23.1306
            170            170          0.000        106.667       -23.1336
            171            171          0.000        107.000       -23.1366
            172            172          0.000        107.333       -23.1396
            173            173          0.000        107.667       -23.1426
            174            174          0.000        108.000       -23.1454
            175            175          0.000        108.333       -23.1482
            176            176          0.000        108.667       -23.1509
            177            177          0.000        109.000       -23.1536
            178            178          0.000        109.333       -23.1559
            179            179          0.000        109.667       -23.1582
            180            180          0.000        110.000       -23.1605
            181            181          0.000        110.333       -23.1627
            182            182          0.000        110.667       -23.1643
            183            183          0.000        111.000        -23.166
            184            184          0.000        111.333       -23.1676
            185            185          0.000        111.667        -23.169
            186            186          0.000        112.000       -23.1702
            187            187          0.000        112.333       -23.1708
            188            188          0.000        112.667       -23.1716
            189            189          0.000        113.000       -23.1723
            190            190          0.000        113.333       -23.1729
            191            191          0.000        113.667       -23.1731
            192            192          0.000        114.000       -23.1736
            193            193          0.000        114.333        -23.174
            194            194          0.000        114.667       -23.1744
            195            195          0.000        115.000       -23.1746
            196            196          0.000        115.333       -23.1748
            197            197          0.000        115.667       -23.1751
            198            198          0.000        116.000       -23.1754
            199            199          0.000        116.333       -23.1759
            200            200          0.000        116.667       -23.1763
            201            201          0.000        117.000        -23.177
            202            202          0.000        117.333       -23.1785
            203            203          0.000        117.667       -23.1801
            204            204          0.000        118.000       -23.1816
            205            205          0.000        118.333       -23.1831
            206            206          0.000        118.667       -23.1847
            207            207          0.000        119.000       -23.1864
            208            208          0.000        119.333        -23.188
            209            209          0.000        119.667       -23.1897
            210            210          0.000        120.000       -23.1914
            211            211          0.000        120.333       -23.1931
            212            212          0.000        120.667        -23.195
            213            213          0.000        121.000       -23.1969
            214            214          0.000        121.333       -23.1987
            215            215          0.000        121.667       -23.2008
            216            216          0.000        122.000       -23.2027
            217            217          0.000        122.333       -23.2046
            218            218          0.000        122.667       -23.2064
            219            219          0.000        123.000       -23.2082
            220            220          0.000        123.333         -23.21
            221            221          0.000        123.667       -23.2119
            222            222          0.000        124.000       -23.2139
            223            223          0.000        124.333       -23.2162
            224            224          0.000        124.667       -23.2184
            225            225          0.000        125.000       -23.2206
            226            226          0.000        125.333       -23.2228
            227            227          0.000        125.667       -23.2252
            228            228          0.000        126.000       -23.2272
            229            229          0.000        126.333       -23.2292
            230            230          0.000        126.667       -23.2312
            231            231          0.000        127.000       -23.2332
            232            232          0.000        127.333       -23.2348
            233            233          0.000        127.667       -23.2367
            234            234          0.000        128.000       -23.2387
            235            235          0.000        128.333       -23.2406
            236            236          0.000        128.667       -23.2427
            237            237          0.000        129.000       -23.2446
            238            238          0.000        129.333       -23.2465
            239            239          0.000        129.667       -23.2484
            240            240          0.000        130.000       -23.2501
            241            241          0.000        130.333       -23.2519
            242            242          0.000        130.667       -23.2537
            243            243          0.000        131.000       -23.2555
            244            244          0.000        131.333       -23.2574
            245            245          0.000        131.667       -23.2591
            246            246          0.000        132.000       -23.2609
            247            247          0.000        132.333       -23.2626
            248            248          0.000        132.667       -23.2642
            249            249          0.000        133.000       -23.2659
            250            250          0.000        133.333       -23.2676
            251            251          0.000        133.667       -23.2693
            252            252          0.000        134.000       -23.2707
            253            253          0.000        134.333       -23.2721
            254            254          0.000        134.667       -23.2735
            255            255          0.000        135.000       -23.2749
            256            256          0.000        135.333        -23.276
            257            257          0.000        135.667       -23.2772
            258            258          0.000        136.000       -23.2784
            259            259          0.000        136.333       -23.2795
            260            260          0.000        136.667       -23.2805
            261            261          0.000        137.000       -23.2817
            262            262          0.000        137.333       -23.2829
            263            263          0.000        137.667       -23.2842
            264            264          0.000        138.000       -23.2854
            265            265          0.000        138.333       -23.2867
            266            266          0.000        138.667       -23.2879
            267            267          0.000        139.000       -23.2891
            268            268          0.000        139.333       -23.2902
            269            269          0.000        139.667       -23.2913
            270            270          0.000        140.000       -23.2923
            271            271          0.000        140.333       -23.2933
            272            272          0.000        140.667        -23.294
            273            273          0.000        141.000       -23.2947
            274            274          0.000        141.333       -23.2954
            275            275          0.000        141.667       -23.2961
            276            276          0.000        142.000       -23.2965
            277            277          0.000        142.333       -23.2971
            278            278          0.000        142.667       -23.2977
            279            279          0.000        143.000       -23.2983
            280            280          0.000        143.333       -23.2989
            281            281          0.000        143.667       -23.2995
            282            282          0.000        144.000       -23.3002
            283            283          0.000        144.333       -23.3007
            284            284          0.000        144.667       -23.3014
            285            285          0.000        145.000        -23.302
            286            286          0.000        145.333       -23.3027
            287            287          0.000        145.667       -23.3033
            288            288          0.000        146.000       -23.3038
            289            289          0.000        146.333       -23.3043
            290            290          0.000        146.667       -23.3048
            291            291          0.000        147.000       -23.3053
            292            292          0.000        147.333       -23.3058
            293            293          0.000        147.667       -23.3063
            294            294          0.000        148.000       -23.3068
            295            295          0.000        148.333       -23.3072
            296            296          0.000        148.667       -23.3078
            297            297          0.000        149.000       -23.3084
            298            298          0.000        149.333        -23.309
            299            299          0.000        149.667       -23.3097
            300            300          0.000        150.000       -23.3103
            301            301          0.000        150.333       -23.3111
            302            302          0.000        150.667       -23.3118
            303            303          0.000        151.000       -23.3124
            304            304          0.000        151.333        -23.313
            305            305          0.000        151.667       -23.3135
            306            306          0.000        152.000       -23.3141
            307            307          0.000        152.333       -23.3147
            308            308          0.000        152.667       -23.3153
            309            309          0.000        153.000       -23.3159
            310            310          0.000        153.333       -23.3165
            311            311          0.000        153.667       -23.3173
            312            312          0.000        154.000        -23.318
            313            313          0.000        154.333       -23.3188
            314            314          0.000        154.667       -23.3196
            315            315          0.000        155.000       -23.3203
            316            316          0.000        155.333       -23.3209
            317            317          0.000        155.667       -23.3214
            318            318          0.000        156.000       -23.3218
            319            319          0.000        156.333       -23.3221
            320            320          0.000        156.667       -23.3224
            321            321          0.000        157.000       -23.3225
            322            322          0.000        157.333       -23.3226
            323            323          0.000        157.667       -23.3227
            324            324          0.000        158.000       -23.3227
            325            325          0.000        158.333       -23.3228
            326            326          0.000        158.667       -23.3229
            327            327          0.000        159.000        -23.323
            328            328          0.000        159.333       -23.3231
            329            329          0.000        159.667       -23.3234
            330            330          0.000        160.000       -23.3236
            331            331          0.000        160.333       -23.3239
            332            332          0.000        160.667       -23.3241
            333            333          0.000        161.000       -23.3244
            334            334          0.000        161.333       -23.3246
            335            335          0.000        161.667       -23.3248
            336            336          0.000        162.000        -23.325
            337            337          0.000        162.333       -23.3251
            338            338          0.000        162.667       -23.3252
            339            339          0.000        163.000       -23.3254
            340            340          0.000        163.333       -23.3255
            341            341          0.000        163.667       -23.3256
            342            342          0.000        164.000       -23.3258
            343            343          0.000        164.333        -23.326
            344            344          0.000        164.667       -23.3263
            345            345          0.000        165.000       -23.3265
            346            346          0.000        165.333       -23.3266
            347            347          0.000        165.667       -23.3267
            348            348          0.000        166.000       -23.3268
            349            349          0.000        166.333       -23.3268
            350            350          0.000        166.667       -23.3268
            351            351          0.000        167.000       -23.3269
            352            352          0.000        167.333       -23.3271
            353            353          0.000        167.667       -23.3273
            354            354          0.000        168.000       -23.3276
            355            355          0.000        168.333       -23.3279
            356            356          0.000        168.667       -23.3283
            357            357          0.000        169.000       -23.3289
            358            358          0.000        169.333       -23.3293
            359            359          0.000        169.667       -23.3297
            360            360          0.000        170.000       -23.3301
            361            361          0.000        170.333       -23.3303
            362            362          0.000        170.667       -23.3306
            363            363          0.000        171.000        -23.331
            364            364          0.000        171.333       -23.3314
            365            365          0.000        171.667       -23.3318
            366            366          0.000        172.000       -23.3322
            367            367          0.000        172.333       -23.3327
            368            368          0.000        172.667       -23.3333
            369            369          0.000        173.000       -23.3339
            370            370          0.000        173.333       -23.3347
            371            371          0.000        173.667       -23.3354
            372            372          0.000        174.000        -23.336
            373            373          0.000        174.333       -23.3367
            374            374          0.000        174.667       -23.3373
            375            375          0.000        175.000       -23.3379
            376            376          0.000        175.333       -23.3386
            377            377          0.000        175.667       -23.3393
            378            378          0.000        176.000       -23.3399
            379            379          0.000        176.333       -23.3404
            380            380          0.000        176.667        -23.341
            381            381          0.000        177.000       -23.3415
            382            382          0.000        177.333       -23.3418
            383            383          0.000        177.667       -23.3422
            384            384          0.000        178.000       -23.3424
            385            385          0.000        178.333       -23.3426
            386            386          0.000        178.667       -23.3423
            387            387          0.000        179.000       -23.3422
            388            388          0.000        179.333        -23.342
            389            389          0.000        179.667       -23.3418
            390            390          0.000        180.000       -23.3414
            391            391          0.000        180.333       -23.3412
            392            392          0.000        180.667       -23.3411
            393            393          0.000        181.000       -23.3411
            394            394          0.000        181.333       -23.3412
            395            395          0.000        181.667       -23.3412
            396            396          0.000        182.000       -23.3413
            397            397          0.000        182.333       -23.3415
            398            398          0.000        182.667       -23.3418
            399            399          0.000        183.000        -23.342
            400            400          0.000        183.333       -23.3423
            401            401          0.000        183.667       -23.3425
            402            402          0.000        184.000       -23.3427
            403            403          0.000        184.333       -23.3429
            404            404          0.000        184.667       -23.3431
            405            405          0.000        185.000       -23.3433
            406            406          0.000        185.333       -23.3436
            407            407          0.000        185.667       -23.3439
            408            408          0.000        186.000       -23.3442
            409            409          0.000        186.333       -23.3445
            410            410          0.000        186.667       -23.3452
            411            411          0.000        187.000       -23.3459
            412            412          0.000        187.333       -23.3467
            413            413          0.000        187.667       -23.3474
            414            414          0.000        188.000       -23.3483
            415            415          0.000        188.333       -23.3493
            416            416          0.000        188.667       -23.3502
            417            417          0.000        189.000         -23.35
            418            418          0.000        189.333       -23.3488
            419            419          0.000        189.667       -23.3484
            420            420          0.000        190.000       -23.3481
            421            421          0.000        190.333       -23.3478
            422            422          0.000        190.667       -23.3477
            423            423          0.000        191.000       -23.3476
            424            424          0.000        191.333       -23.3476
            425            425          0.000        191.667       -23.3476
            426            426          0.000        192.000       -23.3479
            427            427          0.000        192.333       -23.3481
            428            428          0.000        192.667       -23.3483
            429            429          0.000        193.000       -23.3485
            430            430          0.000        193.333       -23.3488
            431            431          0.000        193.667       -23.3489
            432            432          0.000        194.000       -23.3491
            433            433          0.000        194.333       -23.3492
            434            434          0.000        194.667       -23.3493
            435            435          0.000        195.000       -23.3493
            436            436          0.000        195.333       -23.3493
            437            437          0.000        195.667       -23.3492
            438            438          0.000        196.000       -23.3491
            439            439          0.000        196.333       -23.3487
            440            440          0.000        196.667       -23.3484
            441            441          0.000        197.000       -23.3481
            442            442          0.000        197.333       -23.3478
            443            443          0.000        197.667       -23.3474
            444            444          0.000        198.000        -23.347
            445            445          0.000        198.333       -23.3467
            446            446          0.000        198.667       -23.3463
            447            447          0.000        199.000       -23.3458
            448            448          0.000        199.333       -23.3453
            449            449          0.000        199.667       -23.3447
            450            450          0.000        200.000        -23.344
            451            451          0.000        200.333        -23.343
            452            452          0.000        200.667        -23.342
            453            453          0.000        201.000       -23.3408
            454            454          0.000        201.333       -23.3396
            455            455          0.000        201.667       -23.3381
            456            456          0.000        202.000       -23.3367
            457            457          0.000        202.333       -23.3349
            458            458          0.000        202.667        -23.333
            459            459          0.000        203.000       -23.2991
            460            460          0.000        203.333       -23.2424
            461            461          0.000        203.667       -23.2404
            462            462          0.000        204.000       -23.2653
