,Tr [°C],DSC700929_pBTTTketo_20%a
310,153.333,-0.07308715044184488
311,153.667,-0.08040806911040033
312,154.0,-0.08798230368304338
313,154.333,-0.09584989689357926
314,154.667,-0.10371201374281558
315,155.0,-0.11196834267453148
316,155.333,-0.12003978071993071
317,155.667,-0.12784824800943184
318,156.0,-0.1356818979542398
319,156.333,-0.14245240748851806
320,156.667,-0.14963237747786984
321,157.0,-0.15694857508978632
322,157.333,-0.16388338276696235
323,157.667,-0.17040000771574615
324,158.0,-0.17599397964878882
325,158.333,-0.1795183121228785
326,158.667,-0.17950674429068325
327,159.0,-0.1789637171988705
328,159.333,-0.17717280112389133
329,159.667,-0.17204819277030037
330,160.0,-0.1658133933076451
331,160.333,-0.1588824553376158
332,160.667,-0.14891995872221742
333,161.0,-0.13778861354273975
334,161.333,-0.12545288033167434
335,161.667,-0.11295764771404837
336,162.0,-0.09831498347176826
337,162.333,-0.08387968167368687
338,162.667,-0.07052686531342012
339,163.0,-0.05849810866235128
340,163.333,-0.0473084649312705
341,163.667,-0.03784321708794902
342,164.0,-0.031233594682109178
343,164.333,-0.024644835672044785
344,164.667,-0.019002308605251983
345,165.0,-0.014637047098661427
346,165.333,-0.01141439946363132
347,165.667,-0.008289745432953133
348,166.0,-0.005574071479625076
349,166.333,-0.0027127618736493275
350,166.667,-0.0005311331386685936
351,167.0,0.00033972660737724425
352,167.333,-0.00013552846971531807
353,167.667,-0.00036207729001880296
354,168.0,-0.000831258405272095
355,168.333,-0.0012283048194516866
356,168.667,-0.0019781834546224175
357,169.0,-0.002592632085193003
358,169.333,-0.0032166964904769557
359,169.667,-0.0037850572001021376
360,170.0,-5.329070518200751e-15
361,170.333,0.0004132046376534859
362,170.667,-0.0005822121406504621
363,171.0,-0.001982137609807033
364,171.333,-0.004833942182489892
365,171.667,-0.007394538018940189
366,172.0,-0.009820499944596328
367,172.333,-0.01223885382681189
368,172.667,-0.015006173445517135
369,173.0,-0.017769711926860943
370,173.333,-0.02052615521779
371,173.667,-0.0232217433428632
372,174.0,-0.026064398479078044
373,174.333,-0.02878047127791028
374,174.667,-0.03152587263345641
375,175.0,-0.034409184523733316
376,175.333,-0.03681642692965248
377,175.667,-0.037443186239778825
378,176.0,-0.03611869498329945
379,176.333,-0.037688647095495575
380,176.667,-0.04169830908431216
381,177.0,-0.04535755478026626
382,177.333,-0.04903175669792237
383,177.667,-0.052765866089537816
384,178.0,-0.05678038883710901
385,178.333,-0.06215038065941059
386,178.667,-0.06925048217793606
387,179.0,-0.07722182207630901
388,179.333,-0.07880914390244698
389,179.667,-0.08060678227198981
390,180.0,-0.08263647942035313
391,180.333,-0.0850326713495102
392,180.667,-0.08850939129417501
393,181.0,-0.0865889857917157
394,181.333,-0.08292558792307858
395,181.667,-0.07829293416697958
396,182.0,-0.06719396611287998
397,182.333,-0.007272518545634377
398,182.667,0.010907964187123476
